,gamma_sample,k,run
0,7.631696372838657,0.001,0.0
1,2.4671467709651367,0.001,1.0
2,12.57150032676128,0.001,2.0
3,22.94199492127774,0.001,3.0
4,8.579957956343359,0.001,4.0
5,8.716609777125957,0.001,5.0
6,8.041927168870533,0.001,6.0
7,0.5137524706339157,0.001,7.0
8,3.982212177518603,0.001,8.0
9,17.05643526090621,0.001,9.0
10,7.127739220397446,0.001,10.0
11,34.74365210468203,0.001,11.0
12,9.828617111561563,0.001,12.0
13,8.181659960340486,0.001,13.0
14,1.9888525339368306,0.001,14.0
15,4.846631836435613,0.001,15.0
16,28.82028438274773,0.001,16.0
17,23.165622690112436,0.001,17.0
18,51.32566864182185,0.001,18.0
19,16.524509870740655,0.001,19.0
20,0.764175106178665,0.001,20.0
21,11.846384746462558,0.001,21.0
22,3.5168742214567166,0.001,22.0
23,5.676702479301683,0.001,23.0
24,7.801783484979738,0.001,24.0
25,8.552155467247628,0.001,25.0
26,14.454402538905628,0.001,26.0
27,0.35312006963955267,0.001,27.0
28,13.854741670165076,0.001,28.0
29,1.1940964901980156,0.001,29.0
30,6.8891372086569085,0.001,30.0
31,14.962519762079296,0.001,31.0
32,1.9687651198034724,0.001,32.0
33,1.001426950013515,0.001,33.0
34,9.880794879410852,0.001,34.0
35,8.673655979680671,0.001,35.0
36,13.024157318861535,0.001,36.0
37,0.42249259455710303,0.001,37.0
38,10.327170751381352,0.001,38.0
39,11.833379504615506,0.001,39.0
40,2.4353183615410665,0.001,40.0
41,7.522807663092846,0.001,41.0
42,8.233956793879372,0.001,42.0
43,25.065429606352836,0.001,43.0
44,6.947919578883208,0.001,44.0
45,16.649622859409078,0.001,45.0
46,8.582430007281031,0.001,46.0
47,4.868600182064604,0.001,47.0
48,4.4543616763932405,0.001,48.0
49,2.7562263405411116,0.001,49.0
50,2.353256184312823,0.001,50.0
51,1.6964668039103614,0.001,51.0
52,27.027577555240548,0.001,52.0
53,5.8807738608626074,0.001,53.0
54,4.478197916439957,0.001,54.0
55,13.605058252879944,0.001,55.0
56,7.169377886655746,0.001,56.0
57,10.413126293484247,0.001,57.0
58,23.40904630670968,0.001,58.0
59,16.482950941052657,0.001,59.0
60,10.356871334542628,0.001,60.0
61,6.927896637810491,0.001,61.0
62,8.021745399786989,0.001,62.0
63,4.797184093449584,0.001,63.0
64,20.36518385289526,0.001,64.0
65,1.9500943167531726,0.001,65.0
66,1.1220220430959662,0.001,66.0
67,17.0324687448961,0.001,67.0
68,7.415229792723071,0.001,68.0
69,9.645173217325954,0.001,69.0
70,19.683471541452732,0.001,70.0
71,19.65334490346586,0.001,71.0
72,9.172051540572618,0.001,72.0
73,11.094505094468293,0.001,73.0
74,16.4140881546613,0.001,74.0
75,3.4665401868037846,0.001,75.0
76,13.48688490505775,0.001,76.0
77,8.80444054327646,0.001,77.0
78,12.352587758487795,0.001,78.0
79,12.34758424581359,0.001,79.0
80,5.08679960018307,0.001,80.0
81,0.33856844921259627,0.001,81.0
82,3.6918283054087633,0.001,82.0
83,10.71237392799626,0.001,83.0
84,3.328703776876516,0.001,84.0
85,13.250112771487508,0.001,85.0
86,9.902210931243125,0.001,86.0
87,11.869583641489964,0.001,87.0
88,12.137431482944706,0.001,88.0
89,10.137935764196097,0.001,89.0
90,5.828731108091822,0.001,90.0
91,4.030249195067192,0.001,91.0
92,1.0324190558776876,0.001,92.0
93,7.442781652452662,0.001,93.0
94,0.45942637624145294,0.001,94.0
95,16.03008445478114,0.001,95.0
96,0.4361275965755188,0.001,96.0
97,6.241198480634104,0.001,97.0
98,11.736257331760228,0.001,98.0
99,13.072215293834908,0.001,99.0
100,0.0,0.0,0.0
101,0.0,0.0,0.0
102,0.0,0.0,0.0
103,0.0,0.0,0.0
104,0.0,0.0,0.0
105,0.0,0.0,0.0
106,0.0,0.0,0.0
107,0.0,0.0,0.0
108,0.0,0.0,0.0
109,0.0,0.0,0.0
110,0.0,0.0,0.0
111,0.0,0.0,0.0
112,0.0,0.0,0.0
113,0.0,0.0,0.0
114,0.0,0.0,0.0
115,0.0,0.0,0.0
116,0.0,0.0,0.0
117,0.0,0.0,0.0
118,0.0,0.0,0.0
119,0.0,0.0,0.0
120,0.0,0.0,0.0
121,0.0,0.0,0.0
122,0.0,0.0,0.0
123,0.0,0.0,0.0
124,0.0,0.0,0.0
125,0.0,0.0,0.0
126,0.0,0.0,0.0
127,0.0,0.0,0.0
128,0.0,0.0,0.0
129,0.0,0.0,0.0
130,0.0,0.0,0.0
131,0.0,0.0,0.0
132,0.0,0.0,0.0
133,0.0,0.0,0.0
134,0.0,0.0,0.0
135,0.0,0.0,0.0
136,0.0,0.0,0.0
137,0.0,0.0,0.0
138,0.0,0.0,0.0
139,0.0,0.0,0.0
140,0.0,0.0,0.0
141,0.0,0.0,0.0
142,0.0,0.0,0.0
143,0.0,0.0,0.0
144,0.0,0.0,0.0
145,0.0,0.0,0.0
146,0.0,0.0,0.0
147,0.0,0.0,0.0
148,0.0,0.0,0.0
149,0.0,0.0,0.0
150,0.0,0.0,0.0
151,0.0,0.0,0.0
152,0.0,0.0,0.0
153,0.0,0.0,0.0
154,0.0,0.0,0.0
155,0.0,0.0,0.0
156,0.0,0.0,0.0
157,0.0,0.0,0.0
158,0.0,0.0,0.0
159,0.0,0.0,0.0
160,0.0,0.0,0.0
161,0.0,0.0,0.0
162,0.0,0.0,0.0
163,0.0,0.0,0.0
164,0.0,0.0,0.0
165,0.0,0.0,0.0
166,0.0,0.0,0.0
167,0.0,0.0,0.0
168,0.0,0.0,0.0
169,0.0,0.0,0.0
170,0.0,0.0,0.0
171,0.0,0.0,0.0
172,0.0,0.0,0.0
173,0.0,0.0,0.0
174,0.0,0.0,0.0
175,0.0,0.0,0.0
176,0.0,0.0,0.0
177,0.0,0.0,0.0
178,0.0,0.0,0.0
179,0.0,0.0,0.0
180,0.0,0.0,0.0
181,0.0,0.0,0.0
182,0.0,0.0,0.0
183,0.0,0.0,0.0
184,0.0,0.0,0.0
185,0.0,0.0,0.0
186,0.0,0.0,0.0
187,0.0,0.0,0.0
188,0.0,0.0,0.0
189,0.0,0.0,0.0
190,0.0,0.0,0.0
191,0.0,0.0,0.0
192,0.0,0.0,0.0
193,0.0,0.0,0.0
194,0.0,0.0,0.0
195,0.0,0.0,0.0
196,0.0,0.0,0.0
197,0.0,0.0,0.0
198,0.0,0.0,0.0
199,0.0,0.0,0.0
200,0.0,0.0,0.0
201,0.0,0.0,0.0
202,0.0,0.0,0.0
203,0.0,0.0,0.0
204,0.0,0.0,0.0
205,0.0,0.0,0.0
206,0.0,0.0,0.0
207,0.0,0.0,0.0
208,0.0,0.0,0.0
209,0.0,0.0,0.0
210,0.0,0.0,0.0
211,0.0,0.0,0.0
212,0.0,0.0,0.0
213,0.0,0.0,0.0
214,0.0,0.0,0.0
215,0.0,0.0,0.0
216,0.0,0.0,0.0
217,0.0,0.0,0.0
218,0.0,0.0,0.0
219,0.0,0.0,0.0
220,0.0,0.0,0.0
221,0.0,0.0,0.0
222,0.0,0.0,0.0
223,0.0,0.0,0.0
224,0.0,0.0,0.0
225,0.0,0.0,0.0
226,0.0,0.0,0.0
227,0.0,0.0,0.0
228,0.0,0.0,0.0
229,0.0,0.0,0.0
230,0.0,0.0,0.0
231,0.0,0.0,0.0
232,0.0,0.0,0.0
233,0.0,0.0,0.0
234,0.0,0.0,0.0
235,0.0,0.0,0.0
236,0.0,0.0,0.0
237,0.0,0.0,0.0
238,0.0,0.0,0.0
239,0.0,0.0,0.0
240,0.0,0.0,0.0
241,0.0,0.0,0.0
242,0.0,0.0,0.0
243,0.0,0.0,0.0
244,0.0,0.0,0.0
245,0.0,0.0,0.0
246,0.0,0.0,0.0
247,0.0,0.0,0.0
248,0.0,0.0,0.0
249,0.0,0.0,0.0
250,0.0,0.0,0.0
251,0.0,0.0,0.0
252,0.0,0.0,0.0
253,0.0,0.0,0.0
254,0.0,0.0,0.0
255,0.0,0.0,0.0
256,0.0,0.0,0.0
257,0.0,0.0,0.0
258,0.0,0.0,0.0
259,0.0,0.0,0.0
260,0.0,0.0,0.0
261,0.0,0.0,0.0
262,0.0,0.0,0.0
263,0.0,0.0,0.0
264,0.0,0.0,0.0
265,0.0,0.0,0.0
266,0.0,0.0,0.0
267,0.0,0.0,0.0
268,0.0,0.0,0.0
269,0.0,0.0,0.0
270,0.0,0.0,0.0
271,0.0,0.0,0.0
272,0.0,0.0,0.0
273,0.0,0.0,0.0
274,0.0,0.0,0.0
275,0.0,0.0,0.0
276,0.0,0.0,0.0
277,0.0,0.0,0.0
278,0.0,0.0,0.0
279,0.0,0.0,0.0
280,0.0,0.0,0.0
281,0.0,0.0,0.0
282,0.0,0.0,0.0
283,0.0,0.0,0.0
284,0.0,0.0,0.0
285,0.0,0.0,0.0
286,0.0,0.0,0.0
287,0.0,0.0,0.0
288,0.0,0.0,0.0
289,0.0,0.0,0.0
290,0.0,0.0,0.0
291,0.0,0.0,0.0
292,0.0,0.0,0.0
293,0.0,0.0,0.0
294,0.0,0.0,0.0
295,0.0,0.0,0.0
296,0.0,0.0,0.0
297,0.0,0.0,0.0
298,0.0,0.0,0.0
299,0.0,0.0,0.0
300,0.0,0.0,0.0
301,0.0,0.0,0.0
302,0.0,0.0,0.0
303,0.0,0.0,0.0
304,0.0,0.0,0.0
305,0.0,0.0,0.0
306,0.0,0.0,0.0
307,0.0,0.0,0.0
308,0.0,0.0,0.0
309,0.0,0.0,0.0
310,0.0,0.0,0.0
311,0.0,0.0,0.0
312,0.0,0.0,0.0
313,0.0,0.0,0.0
314,0.0,0.0,0.0
315,0.0,0.0,0.0
316,0.0,0.0,0.0
317,0.0,0.0,0.0
318,0.0,0.0,0.0
319,0.0,0.0,0.0
320,0.0,0.0,0.0
321,0.0,0.0,0.0
322,0.0,0.0,0.0
323,0.0,0.0,0.0
324,0.0,0.0,0.0
325,0.0,0.0,0.0
326,0.0,0.0,0.0
327,0.0,0.0,0.0
328,0.0,0.0,0.0
329,0.0,0.0,0.0
330,0.0,0.0,0.0
331,0.0,0.0,0.0
332,0.0,0.0,0.0
333,0.0,0.0,0.0
334,0.0,0.0,0.0
335,0.0,0.0,0.0
336,0.0,0.0,0.0
337,0.0,0.0,0.0
338,0.0,0.0,0.0
339,0.0,0.0,0.0
340,0.0,0.0,0.0
341,0.0,0.0,0.0
342,0.0,0.0,0.0
343,0.0,0.0,0.0
344,0.0,0.0,0.0
345,0.0,0.0,0.0
346,0.0,0.0,0.0
347,0.0,0.0,0.0
348,0.0,0.0,0.0
349,0.0,0.0,0.0
350,0.0,0.0,0.0
351,0.0,0.0,0.0
352,0.0,0.0,0.0
353,0.0,0.0,0.0
354,0.0,0.0,0.0
355,0.0,0.0,0.0
356,0.0,0.0,0.0
357,0.0,0.0,0.0
358,0.0,0.0,0.0
359,0.0,0.0,0.0
360,0.0,0.0,0.0
361,0.0,0.0,0.0
362,0.0,0.0,0.0
363,0.0,0.0,0.0
364,0.0,0.0,0.0
365,0.0,0.0,0.0
366,0.0,0.0,0.0
367,0.0,0.0,0.0
368,0.0,0.0,0.0
369,0.0,0.0,0.0
370,0.0,0.0,0.0
371,0.0,0.0,0.0
372,0.0,0.0,0.0
373,0.0,0.0,0.0
374,0.0,0.0,0.0
375,0.0,0.0,0.0
376,0.0,0.0,0.0
377,0.0,0.0,0.0
378,0.0,0.0,0.0
379,0.0,0.0,0.0
380,0.0,0.0,0.0
381,0.0,0.0,0.0
382,0.0,0.0,0.0
383,0.0,0.0,0.0
384,0.0,0.0,0.0
385,0.0,0.0,0.0
386,0.0,0.0,0.0
387,0.0,0.0,0.0
388,0.0,0.0,0.0
