,gamma_sample,k,run
0,0.003848331095166209,100.0,0.0
1,0.003635028004399302,100.0,1.0
2,0.0041991118482451175,100.0,2.0
3,0.0039492994366620284,100.0,3.0
4,0.0036127944762191855,100.0,4.0
5,0.003753367174704999,100.0,5.0
6,0.0038050689135332135,100.0,6.0
7,0.003927234709744207,100.0,7.0
8,0.0037321946438242802,100.0,8.0
9,0.003820000777738733,100.0,9.0
10,0.003723629666068164,100.0,10.0
11,0.004097474498847924,100.0,11.0
12,0.00402323683777891,100.0,12.0
13,0.00385088272628001,100.0,13.0
14,0.003673260985817416,100.0,14.0
15,0.003931937158615367,100.0,15.0
16,0.003969313712557325,100.0,16.0
17,0.003761419522023217,100.0,17.0
18,0.004000408260129649,100.0,18.0
19,0.0038500613259078807,100.0,19.0
20,0.003379679230130732,100.0,20.0
21,0.0038216108646510613,100.0,21.0
22,0.0038360889360800274,100.0,22.0
23,0.0037297337860747416,100.0,23.0
24,0.004210653454081724,100.0,24.0
25,0.0037674354550841834,100.0,25.0
26,0.004064694353783437,100.0,26.0
27,0.003953533316687184,100.0,27.0
28,0.003578435563408978,100.0,28.0
29,0.004104980255456541,100.0,29.0
30,0.0040464479294393405,100.0,30.0
31,0.0037063962281042914,100.0,31.0
32,0.004039954127173867,100.0,32.0
33,0.00366171721162883,100.0,33.0
34,0.003271837901208905,100.0,34.0
35,0.003553270922907988,100.0,35.0
36,0.003509193878695787,100.0,36.0
37,0.003785642546328522,100.0,37.0
38,0.003723550905005913,100.0,38.0
39,0.004015245107365721,100.0,39.0
40,0.0039649290566593455,100.0,40.0
41,0.0038026245492060054,100.0,41.0
42,0.004486238962923814,100.0,42.0
43,0.003946886393633079,100.0,43.0
44,0.0037756010035923976,100.0,44.0
45,0.0035453780404725815,100.0,45.0
46,0.0038222844296225056,100.0,46.0
47,0.0038020307180742586,100.0,47.0
48,0.0037990026707323257,100.0,48.0
49,0.004348774698629939,100.0,49.0
50,0.004171504160442834,100.0,50.0
51,0.003662448399129127,100.0,51.0
52,0.0037248954836704134,100.0,52.0
53,0.004302044353308921,100.0,53.0
54,0.003969573430508275,100.0,54.0
55,0.003944788841192138,100.0,55.0
56,0.004001782870134337,100.0,56.0
57,0.0038874590064001324,100.0,57.0
58,0.004154331000977391,100.0,58.0
59,0.004172861634653854,100.0,59.0
60,0.003952769017352822,100.0,60.0
61,0.004073658040262897,100.0,61.0
62,0.0037749736811767765,100.0,62.0
63,0.004141930423676809,100.0,63.0
64,0.0032504754021213077,100.0,64.0
65,0.0038127366390727727,100.0,65.0
66,0.003808648569158541,100.0,66.0
67,0.003734245920408111,100.0,67.0
68,0.003784561119011068,100.0,68.0
69,0.004113422852015689,100.0,69.0
70,0.003652881107858606,100.0,70.0
71,0.0037143876364777013,100.0,71.0
72,0.004419692050629798,100.0,72.0
73,0.003142044451771054,100.0,73.0
74,0.0035569303709817486,100.0,74.0
75,0.00393306837226585,100.0,75.0
76,0.0043020883940713345,100.0,76.0
77,0.0037664702388492707,100.0,77.0
78,0.004020816959978928,100.0,78.0
79,0.003972855361469652,100.0,79.0
80,0.004322623622219999,100.0,80.0
81,0.00399549030240901,100.0,81.0
82,0.0042188237189094415,100.0,82.0
83,0.004243900038333141,100.0,83.0
84,0.0037839407093072826,100.0,84.0
85,0.00410669095742849,100.0,85.0
86,0.0042755096723121055,100.0,86.0
87,0.003977623978860374,100.0,87.0
88,0.0036943301709127995,100.0,88.0
89,0.003858661457624229,100.0,89.0
90,0.0035096619129941923,100.0,90.0
91,0.0037790677893574953,100.0,91.0
92,0.0034413519408798433,100.0,92.0
93,0.0037772205507206028,100.0,93.0
94,0.003388248978079116,100.0,94.0
95,0.003491756704162958,100.0,95.0
96,0.0035747960832952955,100.0,96.0
97,0.0037162612951371827,100.0,97.0
98,0.003891864329989697,100.0,98.0
99,0.004292298576844204,100.0,99.0
100,0.01436104259402832,10.0,0.0
101,0.012957303121279459,10.0,1.0
102,0.01372693125523237,10.0,2.0
103,0.015801540757325455,10.0,3.0
104,0.016461816448871132,10.0,4.0
105,0.015115256707449592,10.0,5.0
106,0.014968972447037111,10.0,6.0
107,0.013314781153904477,10.0,7.0
108,0.016829972256265292,10.0,8.0
109,0.014008971175856064,10.0,9.0
110,0.024478639540441133,10.0,10.0
111,0.022845643114129028,10.0,11.0
112,0.018147749719127956,10.0,12.0
113,0.016912467616874247,10.0,13.0
114,0.019864097419884964,10.0,14.0
115,0.015777922267884534,10.0,15.0
116,0.012648122282852559,10.0,16.0
117,0.013637228111980603,10.0,17.0
118,0.015007153838421787,10.0,18.0
119,0.012713288487567687,10.0,19.0
120,0.014257930251355456,10.0,20.0
121,0.021502713890857356,10.0,21.0
122,0.01545815840012941,10.0,22.0
123,0.011866698784139412,10.0,23.0
124,0.023847295063972623,10.0,24.0
125,0.022775894080902914,10.0,25.0
126,0.012223450280701428,10.0,26.0
127,0.016804489195459803,10.0,27.0
128,0.019949815661570124,10.0,28.0
129,0.022659814799159857,10.0,29.0
130,0.018757053428874924,10.0,30.0
131,0.025167790825902515,10.0,31.0
132,0.01264272354736597,10.0,32.0
133,0.01928376732618379,10.0,33.0
134,0.013311582192586179,10.0,34.0
135,0.013801863442231013,10.0,35.0
136,0.013597386187289888,10.0,36.0
137,0.018110187928664284,10.0,37.0
138,0.015775853694228747,10.0,38.0
139,0.021634335794242655,10.0,39.0
140,0.02535357365418195,10.0,40.0
141,0.012558170824869607,10.0,41.0
142,0.017954832304673304,10.0,42.0
143,0.021643497689823016,10.0,43.0
144,0.015808250610969174,10.0,44.0
145,0.01575748127048835,10.0,45.0
146,0.012597610064480395,10.0,46.0
147,0.01616805038406052,10.0,47.0
148,0.012353969109145421,10.0,48.0
149,0.01438802849463339,10.0,49.0
150,0.017293885659362573,10.0,50.0
151,0.0237477463489444,10.0,51.0
152,0.014062224807120747,10.0,52.0
153,0.01882339341292092,10.0,53.0
154,0.025488487737824146,10.0,54.0
155,0.023498792876701192,10.0,55.0
156,0.03458173082351494,10.0,56.0
157,0.0198261984108056,10.0,57.0
158,0.01407185069038204,10.0,58.0
159,0.028494386902385628,10.0,59.0
160,0.0175636211995092,10.0,60.0
161,0.01945586994222847,10.0,61.0
162,0.016643334867992108,10.0,62.0
163,0.016470448826891432,10.0,63.0
164,0.013784077276541774,10.0,64.0
165,0.01627988625947826,10.0,65.0
166,0.018417759145284162,10.0,66.0
167,0.016646165956544112,10.0,67.0
168,0.021225414396148945,10.0,68.0
169,0.01294811583011737,10.0,69.0
170,0.015820987083537838,10.0,70.0
171,0.014150813038719335,10.0,71.0
172,0.013839759943243376,10.0,72.0
173,0.00847148266660465,10.0,73.0
174,0.014224465665082932,10.0,74.0
175,0.014194704468762658,10.0,75.0
176,0.010230866289655109,10.0,76.0
177,0.018492660547322574,10.0,77.0
178,0.01508130624453552,10.0,78.0
179,0.015485361508691923,10.0,79.0
180,0.012132514096672573,10.0,80.0
181,0.016206011343997576,10.0,81.0
182,0.01698360154623595,10.0,82.0
183,0.01610709347484466,10.0,83.0
184,0.015128532777106064,10.0,84.0
185,0.01581302632068151,10.0,85.0
186,0.015919985639511684,10.0,86.0
187,0.014217878678987307,10.0,87.0
188,0.016455974532959147,10.0,88.0
189,0.019119088816804908,10.0,89.0
190,0.010497760197524554,10.0,90.0
191,0.012492595669204734,10.0,91.0
192,0.0080646776752629,10.0,92.0
193,0.014547054874853981,10.0,93.0
194,0.014078256298901658,10.0,94.0
195,0.016837246759089694,10.0,95.0
196,0.017427561884213672,10.0,96.0
197,0.013999112722531522,10.0,97.0
198,0.018583352504172812,10.0,98.0
199,0.029513920356240855,10.0,99.0
200,0.06506749923908932,1.0,0.0
201,0.08986904338631282,1.0,1.0
202,0.1532438363315915,1.0,2.0
203,0.11111073675978499,1.0,3.0
204,0.11512472373705904,1.0,4.0
205,0.06937475664108024,1.0,5.0
206,0.0877650431338144,1.0,6.0
207,0.11881325993392944,1.0,7.0
208,0.01549956323152641,1.0,8.0
209,0.18766353788525608,1.0,9.0
210,0.061375954537173816,1.0,10.0
211,0.11552598732495115,1.0,11.0
212,0.15717526537974869,1.0,12.0
213,0.10878709250647017,1.0,13.0
214,0.07874447537267494,1.0,14.0
215,0.049110504827448734,1.0,15.0
216,0.05846555273093081,1.0,16.0
217,0.06777407665657495,1.0,17.0
218,0.06425693474379987,1.0,18.0
219,0.03868912010830012,1.0,19.0
220,0.07145964283207977,1.0,20.0
221,0.09920142733728068,1.0,21.0
222,0.10583888609915683,1.0,22.0
223,0.06779073154884384,1.0,23.0
224,0.11452425925132192,1.0,24.0
225,0.10206014989418552,1.0,25.0
226,0.08113846807811084,1.0,26.0
227,0.09527332102115028,1.0,27.0
228,0.0695141494070293,1.0,28.0
229,0.17318215849349308,1.0,29.0
230,0.15558804670908327,1.0,30.0
231,0.11378128760629785,1.0,31.0
232,0.0973588294335246,1.0,32.0
233,0.08400549258215292,1.0,33.0
