,gamma_sample,k,run
0,1.1420333031635095,0.001,0.0
1,0.10135468590923236,0.001,1.0
2,0.6851119539808841,0.001,2.0
3,0.9508467003806066,0.001,3.0
4,0.5516161619112243,0.001,4.0
5,0.8303808112842062,0.001,5.0
6,0.6302862535951932,0.001,6.0
7,0.6129443036105016,0.001,7.0
8,0.9164846158423335,0.001,8.0
9,1.1285372945663539,0.001,9.0
10,0.5139944221181755,0.001,10.0
11,0.46974800290610086,0.001,11.0
12,0.38529832084396837,0.001,12.0
13,0.9581533354542376,0.001,13.0
14,0.1645913953834104,0.001,14.0
15,0.7618049578723105,0.001,15.0
16,0.2080345717891077,0.001,16.0
17,0.4485955407074923,0.001,17.0
18,0.6547809829703319,0.001,18.0
19,0.5837564796290491,0.001,19.0
20,1.0902057260225377,0.001,20.0
21,0.4574862755264225,0.001,21.0
22,0.466846739221324,0.001,22.0
23,0.44203360534562103,0.001,23.0
24,0.8597751360217486,0.001,24.0
25,0.44899676318394904,0.001,25.0
26,0.8964371724853349,0.001,26.0
27,0.5457028505846893,0.001,27.0
28,0.8793817302886497,0.001,28.0
29,0.45744208991437657,0.001,29.0
30,0.4861582893579463,0.001,30.0
31,0.9581533354542381,0.001,31.0
32,0.4391665859201854,0.001,32.0
33,0.3023770628089337,0.001,33.0
34,0.7002087720816611,0.001,34.0
35,0.5413627234589606,0.001,35.0
36,0.22889580478474306,0.001,36.0
37,0.10342235641129827,0.001,37.0
38,0.20062453276376513,0.001,38.0
39,0.30784183155876,0.001,39.0
40,0.5320507506462036,0.001,40.0
41,0.643216100407692,0.001,41.0
42,0.6055026351833658,0.001,42.0
43,0.33706497173853756,0.001,43.0
44,0.24044529353413666,0.001,44.0
45,0.15851946484531054,0.001,45.0
46,0.4208263569209334,0.001,46.0
47,0.756396904218165,0.001,47.0
48,0.34468599507729386,0.001,48.0
49,0.6646456151394688,0.001,49.0
50,1.1359846249686432,0.001,50.0
51,0.502827831975071,0.001,51.0
52,0.40655549633947985,0.001,52.0
53,0.5311504863275517,0.001,53.0
54,0.44842323775352755,0.001,54.0
55,0.4083554728452317,0.001,55.0
56,0.37814594890116043,0.001,56.0
57,0.40911177259970477,0.001,57.0
58,0.5098270177758921,0.001,58.0
59,0.3798654790100381,0.001,59.0
60,0.07381227741778203,0.001,60.0
61,0.5678320712758569,0.001,61.0
62,0.9786525431847909,0.001,62.0
63,0.3819168387194232,0.001,63.0
64,0.9844114409138921,0.001,64.0
65,0.40755340112678706,0.001,65.0
66,0.3018307094448096,0.001,66.0
67,0.7264100431872687,0.001,67.0
68,0.472786312338165,0.001,68.0
69,0.5184049535642222,0.001,69.0
70,0.8849342337971353,0.001,70.0
71,0.530170840427415,0.001,71.0
72,0.511664802378993,0.001,72.0
73,0.32384851422468164,0.001,73.0
74,1.4597605793329107,0.001,74.0
75,0.3316625798257433,0.001,75.0
76,0.2718308776631611,0.001,76.0
77,0.5382927990553182,0.001,77.0
78,0.5542189735338392,0.001,78.0
79,0.4159778108912351,0.001,79.0
80,0.5336994540362493,0.001,80.0
81,0.7448249223233046,0.001,81.0
82,0.171439671709749,0.001,82.0
83,0.2431124689472149,0.001,83.0
84,0.4219268889909835,0.001,84.0
85,1.2338790538332256,0.001,85.0
86,1.012795186538677,0.001,86.0
87,0.3959399546012497,0.001,87.0
88,0.4572642249947626,0.001,88.0
89,0.8421371763215699,0.001,89.0
90,0.5630423301623138,0.001,90.0
91,1.0923895905812884,0.001,91.0
92,0.2516863379383951,0.001,92.0
93,0.3301137126092401,0.001,93.0
94,0.6351664400702023,0.001,94.0
95,0.7557882170321872,0.001,95.0
96,1.0853839957342697,0.001,96.0
97,0.7649777503857061,0.001,97.0
98,0.7592095254973488,0.001,98.0
99,0.7563969042181653,0.001,99.0
100,0.0,0.0,0.0
101,0.0,0.0,0.0
102,0.0,0.0,0.0
103,0.0,0.0,0.0
104,0.0,0.0,0.0
105,0.0,0.0,0.0
106,0.0,0.0,0.0
107,0.0,0.0,0.0
108,0.0,0.0,0.0
109,0.0,0.0,0.0
110,0.0,0.0,0.0
111,0.0,0.0,0.0
112,0.0,0.0,0.0
113,0.0,0.0,0.0
114,0.0,0.0,0.0
115,0.0,0.0,0.0
116,0.0,0.0,0.0
117,0.0,0.0,0.0
118,0.0,0.0,0.0
119,0.0,0.0,0.0
120,0.0,0.0,0.0
121,0.0,0.0,0.0
122,0.0,0.0,0.0
123,0.0,0.0,0.0
124,0.0,0.0,0.0
125,0.0,0.0,0.0
126,0.0,0.0,0.0
127,0.0,0.0,0.0
128,0.0,0.0,0.0
129,0.0,0.0,0.0
130,0.0,0.0,0.0
131,0.0,0.0,0.0
132,0.0,0.0,0.0
133,0.0,0.0,0.0
134,0.0,0.0,0.0
135,0.0,0.0,0.0
136,0.0,0.0,0.0
137,0.0,0.0,0.0
